A,B,C,D,E,F,G,H,I,J,K
3.17966503857545,3.03062470661406,3.2227522692468,2.83662443625746,3.38628404038511,1.91016507055592,2.17962830641293,3.46465733672963,3.7051430725641,3.92179742541647,3.56676590278484
3.31315547309188,3.12753458384168,3.36718871991592,2.79948280016801,2.52700102175025,2.35941916469559,2.46104895171645,3.39419967867552,3.00232446484283,3.48703506850275,3.75358100880732
3.53184740432273,3.55448902149924,3.4416364410239,2.58277556313673,2.73085149326513,2.26309712127584,2.46104895171645,3.4529620445778,3.53159902318536,3.77334177357852,3.2547406252557
3.62138380678925,3.82808074461056,3.64089553100856,2.70450788687429,1.72764860336713,1.85565091310849,2.02108181488723,3.57029089845654,3.61141472745624,3.72591712666088,3.32831795516721
3.28569093922839,3.20671575613197,2.9924513359241,2.56228852514394,3.01135873397738,2.41418682605506,2.61286390249344,3.33195687801068,3.1430802757017,3.67948422052145,3.87479643284722
3.03221914550912,2.48408633916343,3.52279623533363,2.91856533053424,2.65433527253963,2.16546515480024,2.359101827521,3.63298680305399,3.61141472745624,3.96063257551658,3.72663373323732
3.41030732848,3.47234331202495,3.29431697969947,3.69474637385979,2.82909519949506,2.02745408818395,2.20203055447025,3.76934343254971,3.65078541504432,3.82464553650428,3.22238461035282
3.43383932240929,3.08614194937483,3.4416364410239,3.05847259605941,2.85994551741583,2.39525632754882,2.60526127113903,3.51604290152952,3.28358011931947,3.65694092560771,3.26573600292264
3.77509427337006,3.69892553139075,3.30258950147957,2.89845557346253,3.23808306784863,2.1506174682983,2.32023819508969,3.49601699971732,3.94007699147244,4.05488091657125,3.36782648052237
3.08234367436726,3.24248900032509,2.55144480454222,3.8859262933407,3.25738821070232,2.21048832876709,3.07949446415371,3.17603674101001,3.63904701297772,3.69606235715796,3.96902725831433
2.97290526189432,3.12489449062819,3.43865158826088,2.80462241424243,2.66612668450031,2.43034802313648,2.48824107792434,3.4999033289551,3.78432431345245,3.92179742541647,3.34672301006856
3.62904975956801,3.26988600589757,3.1523450071348,2.76450540772965,3.03520830160005,2.41005078085959,2.51145737871352,3.43760660371438,3.9784848221534,4.12080942939631,3.51493427312102
3.68799050019382,3.50774562607314,3.22667368797343,3.38641719501534,2.68509435454662,1.91408826876857,2.03555709648347,3.57029089845654,3.72754718051048,3.91398967410891,4.03658789049857
3.32390883822625,3.37543332676415,2.97625401723488,2.53130438252758,2.8072393942905,2.34275991309723,2.20203055447025,3.4497169905767,3.63904701297772,3.8865514266312,4.14368282905698
3.22344392848665,3.29206755396349,3.28588381659713,2.77829361318148,3.28529267441446,2.03540340547034,1.80840365316299,3.54662698387629,3.46280702611236,3.55058447983967,2.86288317963751
3.45703097910502,3.04992982972524,3.35283057534159,2.69474812743384,2.66998706970497,2.34758526009312,2.39477164867326,3.44094306852651,4.22443045141498,4.15604180547682,1.9647569648201
3.1763624059352,3.3365617517897,3.60566315855359,2.61160152054315,2.78422514883702,2.0470610893101,2.52780342548852,2.79704805697888,4.07675412867873,4.08579238110471,2.11701956106154
3.35575619214832,3.49211380618739,3.29847293734778,3.53890338230052,2.97293299013043,2.53081077345447,2.44471033434743,3.19596198369214,3.69217809643856,3.75810180791851,2.84780011345424
3.24236090343667,3.20671575613197,3.1523450071348,3.69802408335567,2.81280732181846,2.37093915899631,2.50787315335543,3.35144771363753,3.8567111852774,3.8400940271391,3.20023449913966
3.44914246885025,3.12753458384168,3.40113523785734,3.72339155312026,3.02684014812064,2.58266127994516,2.74225341791665,3.69891531059822,3.62698250288421,3.70730165772569,3.30909825782157
3.34352174062227,2.85944123454893,3.33036206675654,3.50765975471387,2.86976046312892,2.17270289920849,2.50425910169185,3.77348453145354,3.55387541423559,3.72286943379575,3.28485228260542
3.25774813697695,3.16047060796534,3.43865158826088,2.59948103698405,2.3079986477013,2.09852568436946,2.32756790389747,3.28856614155609,3.61457324632564,3.72286943379575,3.06850991726391
3.37084485727797,3.35565468593936,2.2772956399503,3.71089300854102,2.99530498572514,2.56990801340985,2.6481325942691,3.83218426725302,2.4746990139515,4.19537865457832,2.62840920909322
3.60563360767898,3.64404970714936,3.46480430032575,2.96156276967258,2.72749787460288,2.08600080528805,2.39477164867326,3.4999033289551,4.02978858666549,4.24221667187702,3.64865303217617
3.60563360767898,3.53536288610441,3.52279623533363,2.89431941760678,2.63809823932471,2.86368518151044,2.94127245145385,4.14454142227358,4.02978858666549,3.9332520094829,3.21512604309393
3.09049966802823,1.9101161012037,3.19531404187036,3.83185100923083,3.25738821070232,2.36406389414162,2.53462482686174,3.65654283298303,3.60823306905379,3.73493394435614,2.81227956958676
3.35134707497422,3.27366250128922,3.54679650764597,2.91856533053424,2.64221476234216,2.34032698537095,2.45702155970698,3.51604290152952,3.49588347763148,3.63690702233252,2.80856235086751
3.60191637162103,3.21968072358074,3.57394874957456,2.83899115954658,2.41348744283565,2.10695780106422,2.34710918470486,3.54662698387629,3.83072000096394,3.95349821431901,3.73849233898517
3.30088645744111,3.25835539344011,3.51281201626685,3.27314255272931,2.98051909593985,2.62519448300348,2.66012559096236,3.33620775333897,3.5952680935126,3.8595006878075,4.25696195220944
3.36765541094825,3.30450218591756,3.39122695239381,3.37074683690867,3.19897017761941,1.80096965929249,2.11650312673567,3.67567202806625,3.92340046038594,3.89072736714586,3.32831795516721
3.41797718526852,3.10595031726376,3.39785752913749,2.90255270864644,2.49197241090628,2.46830084943865,2.64024416327736,3.98816499212738,3.76472875849641,3.85501181616354,3.28485228260542
3.39854242810154,3.37543332676415,3.43865158826088,2.81968608910673,2.7341794138013,2.02342420096629,2.04610553044393,3.64074856739323,4.00617305556441,4.10142085519028,3.41341226413629
3.66060772187905,3.8163854501612,2.92172274067239,3.89431871811758,2.90694191900702,2.111113257786,2.49939310267659,3.47296944465111,3.90444642104694,3.87485613205663,3.14939752860818
3.5116440218914,3.14809672094788,3.61374328798824,2.83185194187521,2.72071193361549,2.05466260969335,2.30900634274651,3.58959605097917,4.06015486710155,4.04697790407481,3.21755906996815
3.52743828618699,3.20008518243049,2.68721848553375,3.19117294613068,1.96135080765884,2.37093915899631,2.47679512814509,3.35954038841032,3.83452962594601,3.77334177357852,3.28067634422252
3.48884324322201,3.01385452664702,3.31471012830332,2.66759611731444,3.1054576247106,2.39525632754882,2.52780342548852,3.4529620445778,3.82687666205128,3.85501181616354,3.28485228260542
3.52372951552919,3.27366250128922,3.5537453664987,3.47234895776583,3.00429689311412,2.648608684081,2.63669166992116,3.48011428428211,3.64201149163106,3.73044893597147,3.0650767464738
3.96218090966162,3.35875680137333,3.12854211740756,3.63487028863151,2.82373349497448,1.78549624012185,2.04261777131124,3.94142873168929,2.86563004775622,3.76509542854519,3.88639236233478
3.41415918833542,2.88271673584059,3.36364344046908,3.30495480723621,3.05781605583152,1.72251111292389,2.39007668157452,3.62508379130505,4.05675750055667,4.17588612192454,4.10772068242153
3.49604829239697,3.36336881976623,3.19897017761941,2.54684151748901,2.93287757804868,2.67536058913914,2.72658874659387,3.80093329203249,3.57849788551129,3.6442994465428,3.09503992837055
3.68799050019382,3.33980276906185,3.68040406851634,3.25360045663072,2.97674260672177,2.22345235113768,2.10147595624359,3.44535218628581,3.15047269316462,3.22282757049761,3.6011938031282
3.79548743091519,3.55053186962327,3.25363364247839,4.10946654760705,3.39794364909711,2.52287112260239,2.57857301800653,3.35144771363753,3.647880424693,3.84819029689334,3.21512604309393
3.16799424552083,3.09474210979497,2.2772956399503,3.65335369242129,2.99165543830877,1.52004638025855,2.22563756311782,1.8563412836485,3.17017600914122,3.87485613205663,4.30909815425418
3.46135235184469,3.35875680137333,3.71819262638341,3.035070637222,2.75678705849179,2.25722854182405,2.3436209990634,3.42972036744128,3.65938558596407,3.57058110522919,2.85119746646232
3.59816704392768,3.16047060796534,3.52770356895463,3.36726410514816,2.98051909593985,1.52325757291736,2.07304306060362,3.59739328780511,3.1230543917017,3.57058110522919,3.98589518322728
